datum,Cetirizine,rating
1/31/2014,48.2,1
2/28/2014,36.2,3
3/31/2014,85.4,3
4/30/2014,73.7,4
5/31/2014,123.7,4
6/30/2014,109.3,2
7/31/2014,69.1,3
8/31/2014,70.8,2
9/30/2014,58.8,3
10/31/2014,74.5,1
11/30/2014,45.2,1
12/31/2014,33.4,1
1/31/2015,42,1
2/28/2015,47,2
3/31/2015,54,4
4/30/2015,112,5
5/31/2015,159.5,5
6/30/2015,125.8,5
7/31/2015,130.3,3
8/31/2015,83.7,3
9/30/2015,71,3
10/31/2015,72,1
11/30/2015,44,1
12/31/2015,41.73,2
1/31/2016,56.5,2
2/29/2016,58,4
3/31/2016,97.84,5
4/30/2016,162.4,5
5/31/2016,137.1,5
6/30/2016,134.8,4
7/31/2016,116.83,3
8/31/2016,85.3,3
9/30/2016,69.3,2
10/31/2016,60.9,2
11/30/2016,51.2,1
12/31/2016,34.9,1
1/31/2017,0,1
2/28/2017,30.6,4
3/31/2017,100.1,4
4/30/2017,122.4,5
5/31/2017,161.81,5
6/30/2017,151.9,3
7/31/2017,81.1,2
8/31/2017,60.1,2
9/30/2017,66.9,2
10/31/2017,51,1
11/30/2017,46.6,1
12/31/2017,47.1,2
1/31/2018,49.5,1
2/28/2018,39.06,3
3/31/2018,85.5,5
4/30/2018,197.1,5
5/31/2018,213.04,4
6/30/2018,120.8,4
7/31/2018,122.2,4
8/31/2018,103.1,3
9/30/2018,88.1,3
10/31/2018,76.9,2
11/30/2018,48.4,2
12/31/2018,53.1,1
1/31/2019,41.3,3
2/28/2019,69.5,5
3/31/2019,169.5,5
4/30/2019,179.1,5
5/31/2019,135.4,5
6/30/2019,156.04,4
7/31/2019,105.2,4
8/31/2019,97.3,4
